transaction_id,date,client_id,direction,counterparty,description,amount,vat_amount,vat_rate,vat_code,receipt_id,source_ledger_id
M-T031,2026-05-19,M-011,purchase,SDU,Legal database,480.00,100.80,21%,NL_HIGH,SDU-0519-3402,ex-m031
M-T032,2026-06-26,M-011,sale,Local Client,Contract review,7200.00,1512.00,21%,NL_HIGH,INV-M011-06,ex-m032
M-T033,2026-04-05,M-012,sale,School Board,Policy advice,8200.00,1722.00,21%,NL_HIGH,INV-M012-04,sn-m033
M-T034,2026-05-13,M-012,purchase,NS Business Card,Travel,380.00,34.20,9%,NL_LOW,NSB-0513-2289,sn-m034
M-T035,2026-06-10,M-012,sale,School Board,Follow-up,4100.00,861.00,21%,NL_HIGH,INV-M012-06,sn-m035
M-T036,2026-04-16,M-013,sale,Woonzorg Installatie,Installation project,18450.00,3874.50,21%,NL_HIGH,INV-M013-04,tw-m036
M-T037,2026-05-02,M-013,purchase,Technische Unie,Parts,3850.00,808.50,21%,NL_HIGH,TU-0502-6841,tw-m037
M-T038,2026-06-22,M-013,sale,Woonzorg Installatie,Service visit,3600.00,756.00,21%,NL_HIGH,INV-M013-06,tw-m038
M-T039,2026-04-09,M-014,sale,Antwerp Buyer,Intra-EU goods,17600.00,0.00,0%,EU_REVERSE,INV-M014-BE,mb-m039
M-T040,2026-05-21,M-014,purchase,Harbor Fees,Import service,1450.00,304.50,21%,NL_HIGH,,mb-m040
M-T041,2026-06-12,M-014,sale,Rotterdam Store,Local goods,9500.00,1995.00,21%,NL_HIGH,INV-M014-06,mb-m041
M-T042,2026-04-23,M-015,sale,Project Dune,Design phase,16800.00,3528.00,21%,NL_HIGH,INV-M015-04,ex-m042
M-T043,2026-05-15,M-015,purchase,SketchUp,Design software,310.00,65.10,21%,NL_HIGH,SKU-0515-7730,ex-m043
M-T044,2026-06-19,M-015,sale,Project Dune,Permit drawings,9200.00,1932.00,21%,NL_HIGH,INV-M015-06,ex-m044
M-T045,2026-04-30,M-016,sale,Fintech Client,Finance advice,9600.00,2016.00,21%,NL_HIGH,INV-M016-04,tw-m045
M-T046,2026-05-11,M-016,purchase,Bank Seminar,Training ticket,650.00,136.50,21%,NL_HIGH,BNKSEM-0511-1182,tw-m046
M-T047,2026-06-24,M-016,sale,Fintech Client,Risk workshop,4600.00,966.00,21%,NL_HIGH,INV-M016-06,tw-m047
